ref_datetime,valid_datetime,"Temperature, WindSpeed, WindSpeed:100, WindDirection:100, CloudCover, RelativeHumidity, PressureReducedMSL, SolarDownwardRadiation, TotalPrecipitation",latitude,longitude,Temperature,WindSpeed,WindSpeed:100,WindDirection:100,CloudCover,RelativeHumidity,PressureReducedMSL,SolarDownwardRadiation,TotalPrecipitation
2024-10-02T06:00:00Z,2024-10-02T06:00:00Z,,52.4872562,0.4012455,12.39,5.97,9.75,31.05,0.14,92.48,101111.51,0.0,0.0
2024-10-02T06:00:00Z,2024-10-02T07:00:00Z,,52.4872562,0.4012455,12.64,5.85,9.55,37.22,0.15,91.18,101196.63,60.01,0.02
2024-10-02T06:00:00Z,2024-10-02T08:00:00Z,,52.4872562,0.4012455,13.96,6.19,9.58,42.12,0.32,85.18,101282.63,191.7,0.09
2024-10-02T06:00:00Z,2024-10-02T09:00:00Z,,52.4872562,0.4012455,14.88,6.95,10.42,43.12,0.37,79.1,101372.84,243.98,0.16
2024-10-02T06:00:00Z,2024-10-02T10:00:00Z,,52.4872562,0.4012455,15.29,8.07,11.85,47.37,0.46,75.5,101420.59,331.44,0.19
2024-10-02T06:00:00Z,2024-10-02T11:00:00Z,,52.4872562,0.4012455,15.54,8.79,12.7,49.86,0.36,73.01,101470.99,442.02,0.19
2024-10-02T12:00:00Z,2024-10-02T12:00:00Z,,52.4872562,0.4012455,15.54,9.21,13.28,49.6,0.54,70.52,101521.41,331.44,0.21
2024-10-02T12:00:00Z,2024-10-02T13:00:00Z,,52.4872562,0.4012455,15.29,8.56,12.29,47.17,0.17,70.3,101561.2,391.76,0.03
2024-10-02T12:00:00Z,2024-10-02T14:00:00Z,,52.4872562,0.4012455,15.21,8.24,11.84,43.96,0.27,66.47,101603.65,425.94,0.01
2024-10-02T12:00:00Z,2024-10-02T15:00:00Z,,52.4872562,0.4012455,14.54,7.48,10.73,38.82,0.08,68.42,101640.79,236.94,0.01
2024-10-02T12:00:00Z,2024-10-02T16:00:00Z,,52.4872562,0.4012455,13.55,7.27,10.82,35.8,0.97,71.02,101699.16,129.37,0.0
2024-10-02T12:00:00Z,2024-10-02T17:00:00Z,,52.4872562,0.4012455,12.72,6.92,10.58,34.75,1.0,70.59,101768.14,15.78,0.0
2024-10-02T12:00:00Z,2024-10-02T18:00:00Z,,52.4872562,0.4012455,12.47,6.64,10.39,36.47,1.0,68.28,101831.81,0.0,0.0
2024-10-02T12:00:00Z,2024-10-02T19:00:00Z,,52.4872562,0.4012455,12.47,6.39,9.95,36.23,1.0,63.72,101874.26,0.0,0.0
